vehicle_edge,vehicle_longitude,vehicle_latitude,count
39260434#5,7.544908,45.067017,1337
39260434#5,7.545149,45.067775,1337
39260434#5,7.544667,45.06626,1337
80631640#4,7.558819,44.988754,1331
80631640#4,7.559294,44.989581,1331
80631640#4,7.562022,44.994562,1331
80631640#4,7.557477,44.98725,1331
80631640#4,7.558203,44.98798,1331
80631640#4,7.560046,44.991285,1331
80631640#4,7.560416,44.992139,1331
80631640#4,7.562998,44.996203,1331
80631640#4,7.562562,44.995369,1331
80631640#4,7.556009,44.985799,1331
80631640#4,7.563278,44.997072,1331
80631640#4,7.560882,44.992969,1331
80631640#4,7.561449,44.993766,1331
80631640#4,7.556732,44.986531,1331
80631640#4,7.559678,44.990431,1331
37928255#1,7.559497,44.989442,1288
37928255#1,7.560227,44.991123,1288
37928255#1,7.562634,44.995164,1288
37928255#1,7.561006,44.992792,1288
37928255#1,7.558372,44.987883,1288
37928255#1,7.555542,44.984995,1288
37928255#1,7.563124,44.995971,1288
37928255#1,7.557651,44.987167,1288
37928255#1,7.558998,44.988638,1288
37928255#1,7.556212,44.985735,1288
37928255#1,7.562095,44.994372,1288
37928255#1,7.559868,44.990281,1288
37928255#1,7.563491,44.99681,1288
37928255#1,7.561537,44.993586,1288
37928255#1,7.556909,44.986462,1288
37928255#1,7.560565,44.99197,1288
37971591#0,7.544563,45.066753,1280
37971591#0,7.545309,45.069185,1280
37971591#0,7.544812,45.067563,1280
37971591#0,7.54506,45.068374,1280
37975347#0,7.555837,45.058721,1276
37975347#0,7.549737,45.061371,1276
37975347#0,7.550765,45.060946,1276
37975347#0,7.552794,45.060055,1276
37975347#0,7.551779,45.0605,1276
37975347#0,7.556847,45.058272,1276
37975347#0,7.554825,45.059168,1276
37975347#0,7.553809,45.059612,1276
30250839,7.688157,44.970223,1245
30250839,7.682096,44.969771,1245
30250839,7.672608,44.971174,1245
30250839,7.686946,44.970117,1245
30250839,7.684524,44.969906,1245
30250839,7.678449,44.969942,1245
30250839,7.685735,44.970011,1245
30250839,7.683313,44.9698,1245
30250839,7.677254,44.970116,1245
30250839,7.676084,44.970359,1245
30250839,7.679658,44.969827,1245
30250839,7.680876,44.969772,1245
30250839,7.673766,44.9709,1245
30250839,7.674923,44.970627,1245
-69883347#4,7.668817,45.161525,1203
-69883347#4,7.668073,45.160865,1203
-69883347#4,7.671404,45.163072,1203
-69883347#4,7.669544,45.162195,1203
-69883347#4,7.667149,45.160333,1203
-69883347#4,7.665611,45.159094,1203
-69883347#4,7.670534,45.162496,1203
-69883347#4,7.666437,45.159687,1203
37983096,7.676146,44.970553,1153
37983096,7.68213,44.969978,1153
37983096,7.683342,44.970014,1153
37983096,7.688162,44.970448,1153
37983096,7.673838,44.971091,1153
37983096,7.679705,44.970031,1153
37983096,7.689366,44.970556,1153
37983096,7.6785,44.97014,1153
37983096,7.674991,44.970819,1153
37983096,7.680916,44.969972,1153
37983096,7.685752,44.970231,1153
37983096,7.67731,44.97031,1153
37983096,7.684547,44.970123,1153
37983096,7.686957,44.97034,1153
515166950#1,7.591892,45.102576,1151
515166950#1,7.590706,45.10225,1151
39260434#3,7.543662,45.062776,1134
39260434#3,7.543908,45.063649,1134
-497505369,7.53737,44.995768,1023
-497505369,7.534889,44.99594,1023
-497505369,7.533649,44.996026,1023
-497505369,7.543573,44.995512,1023
-497505369,7.53861,44.99568,1023
-497505369,7.53613,44.995854,1023
-497505369,7.541088,44.995493,1023
-497505369,7.542332,44.995446,1023
-497505369,7.539849,44.995586,1023
-497505369,7.544794,44.995685,1023
130009195#0,7.578723,45.05258,1002
130009195#0,7.579952,45.052532,1002
130009195#0,7.58364,45.052389,1002
130009195#0,7.586098,45.052294,1002
130009195#0,7.581181,45.052485,1002
130009195#0,7.584869,45.052342,1002
130009195#0,7.582411,45.052437,1002
37973201,7.548962,45.079738,987
37973201,7.548426,45.078311,987
37973201,7.548675,45.079029,987
37983083#2,7.654565,44.976453,915
37983083#2,7.65666,44.975557,915
37983083#2,7.652532,44.977419,915
37983083#2,7.657734,44.975141,915
37983083#2,7.653543,44.97693,915
37983083#2,7.655603,44.975994,915
37983083#2,7.661052,44.974029,915
37983083#2,7.659935,44.974384,915
37983083#2,7.658828,44.974752,915
28520022#1,7.587057,45.032755,876
28520022#1,7.589198,45.031696,876
28520022#1,7.588151,45.032249,876
594646040#0,7.621753,44.987883,843
594646040#0,7.622523,44.988598,843
594646040#0,7.623293,44.989313,843
594646040#0,7.624062,44.990028,843
-83599780#0,7.597556,45.122678,820
-83599780#0,7.604647,45.120534,820
-83599780#0,7.603465,45.12089,820
-83599780#0,7.605808,45.120148,820
-83599780#0,7.601101,45.121605,820
37971583,7.546783,45.073961,820
-83599780#0,7.602282,45.121246,820
-83599780#0,7.599921,45.121964,820
-83599780#0,7.59874,45.122324,820
37971583,7.54662,45.073391,820
-83599780#0,7.596372,45.123031,820
26200434,7.549682,45.080735,802
26200434,7.548866,45.080042,802
26200434,7.548435,45.079189,802
24204882,7.693374,44.989695,798
24204882,7.692464,44.990213,798
24204882,7.694256,44.989155,798
24204882,7.694891,44.988471,798
256066768,7.547843,45.076534,780
256066768,7.547593,45.075771,780
37971591#1,7.54381,45.064328,753
37971591#1,7.544024,45.065013,753
37971591#1,7.544238,45.065698,753
-370608803,7.571515,45.107902,741
-370608803,7.574369,45.103948,741
-370608803,7.57289,45.106413,741
-370608803,7.573423,45.105604,741
-370608803,7.575338,45.102298,741
-370608803,7.573915,45.104781,741
-370608803,7.574854,45.103123,741
-370608803,7.572279,45.107194,741
-255961293#0,7.591584,45.112988,732
-255961293#0,7.592444,45.111188,732
-255961293#0,7.593144,45.110379,732
-255961293#0,7.591986,45.112081,732
-255961293#0,7.591182,45.113896,732
-255961293#0,7.590781,45.114804,732
15215737#0,7.687946,44.991982,717
15215737#0,7.689008,44.99158,717
15215737#0,7.690069,44.991178,717
15215737#0,7.691128,44.990772,717
-69716813,7.554989,45.114974,698
-69716813,7.560037,45.112335,698
-69716813,7.557989,45.11336,698
-69716813,7.558982,45.112816,698
-69716813,7.55599,45.114437,698
-69716813,7.55397,45.115493,698
-69716813,7.55699,45.113899,698
-124534868,7.632613,45.158115,680
-124534868,7.629432,45.160637,680
-124534868,7.631037,45.159387,680
-124534868,7.633392,45.157473,680
-124534868,7.634082,45.156783,680
-124534868,7.634709,45.156067,680
-124534868,7.631822,45.15875,680
-124534868,7.630263,45.160033,680
452950770#1,7.718694,44.968662,666
452950770#1,7.715356,44.969164,666
452950770#1,7.717581,44.968829,666
452950770#1,7.719806,44.968495,666
452950770#1,7.708676,44.970153,666
452950770#1,7.71313,44.969498,666
452950770#1,7.714243,44.969331,666
452950770#1,7.712017,44.969661,666
452950770#1,7.716469,44.968997,666
452950770#1,7.710903,44.969825,666
452950770#1,7.709789,44.969989,666
39260434#4,7.544207,45.064695,661
39260434#4,7.544394,45.065327,661
37971591#2,7.543355,45.062727,639
37971591#2,7.543551,45.063464,639
37971581,7.547413,45.075155,630
37971581,7.547234,45.074541,630
497505369,7.537364,44.995855,629
497505369,7.542303,44.995533,629
497505369,7.545929,44.996047,629
497505369,7.543539,44.995595,629
497505369,7.544754,44.995767,629
497505369,7.541065,44.995581,629
497505369,7.534895,44.996026,629
497505369,7.53613,44.995941,629
497505369,7.539832,44.995674,629
497505369,7.538599,44.995767,629
122291541,7.545982,45.069771,615
111801795#2,7.592441,45.052051,615
111801795#2,7.590115,45.052141,615
111801795#2,7.588953,45.052186,615
122291541,7.5466,45.070261,615
111801795#2,7.58779,45.052231,615
111801795#2,7.591278,45.052096,615
111801795#2,7.593603,45.052006,615
-69716817,7.547905,45.117455,607
-69716817,7.552765,45.115997,607
-69716817,7.549173,45.117195,607
-69716817,7.545274,45.117614,607
-69716817,7.551571,45.116402,607
-69716817,7.546596,45.117567,607
-69716817,7.550377,45.116806,607
-239304403,7.566926,45.11047,606
-239304403,7.56781,45.10999,606
-239304403,7.568693,45.109511,606
-239304403,7.570461,45.108551,606
-239304403,7.569577,45.109031,606
594646043#1,7.616324,44.982909,594
594646043#1,7.617824,44.984291,594
594646043#1,7.617074,44.9836,594
594646043#1,7.618574,44.984982,594
594646043#1,7.614075,44.980835,594
594646043#1,7.614825,44.981526,594
594646043#1,7.615574,44.982217,594
22922411,7.700967,44.975662,582
22922411,7.701158,44.974069,582
22922411,7.700712,44.973336,582
37971594,7.546014,45.069924,582
22922411,7.698455,44.971553,582
22922411,7.699337,44.972053,582
22922411,7.700034,44.972688,582
22922411,7.701147,44.974866,582
37983094,7.691957,44.970781,579
37983094,7.693247,44.970912,579
37983094,7.694537,44.971042,579
37983094,7.690664,44.970668,579
37983094,7.695827,44.97117,579
-134543552#3,7.705198,44.991372,576
-134543552#3,7.704817,44.990482,576
-23721624#1,7.596531,45.109367,556
-23721624#1,7.599198,45.110651,556
-23721624#1,7.597406,45.109809,556
-23721624#1,7.598301,45.110231,556
182840686#0,7.598857,45.105881,553
182840686#0,7.598042,45.105587,553
37985919#5,7.698807,44.985202,541
37985919#5,7.697924,44.986748,541
37985919#5,7.697335,44.987471,541
37985919#5,7.699309,44.983567,541
37985919#5,7.694034,44.989822,541
37985919#5,7.696645,44.988148,541
37985919#5,7.69587,44.988777,541
37985919#5,7.694998,44.98934,541
37985919#5,7.698437,44.985995,541
37985919#5,7.699525,44.982745,541
37985919#5,7.699075,44.984387,541
-83599784#0,7.593492,45.12141,537
-83599784#0,7.593019,45.120615,537
-83599784#0,7.59254,45.119823,537
-83599784#0,7.593965,45.122204,537
223603540#0,7.771095,45.153153,536
223603540#0,7.785305,45.160295,536
223603540#0,7.798594,45.166833,536
223603540#0,7.773125,45.154173,536
223603540#0,7.799615,45.167337,536
223603540#0,7.790416,45.16281,536
223603540#0,7.769045,45.152154,536
223603540#0,7.777178,45.15622,536
223603540#0,7.781232,45.158267,536
223603540#0,7.780219,45.157755,536
223603540#0,7.797572,45.16633,536
223603540#0,7.786327,45.160798,536
223603540#0,7.774138,45.154685,536
223603540#0,7.782246,45.158779,536
223603540#0,7.770079,45.152644,536
