vehicle_edge,vehicle_longitude,vehicle_latitude,count
182840686#1,7.597172,45.104998,1346
182840686#1,7.594312,45.103328,1346
182840686#1,7.595465,45.103708,1346
182840686#1,7.596456,45.104254,1346
26602386,7.564977,45.090175,1340
26602386,7.564065,45.089437,1340
26602386,7.565888,45.090912,1340
218754064#2,7.711669,44.96991,1328
218754064#2,7.725709,44.967809,1328
218754064#2,7.712838,44.969733,1328
218754064#2,7.71635,44.969213,1328
218754064#2,7.717521,44.96904,1328
218754064#2,7.722199,44.968337,1328
218754064#2,7.71986,44.968689,1328
218754064#2,7.7105,44.970088,1328
218754064#2,7.714008,44.969558,1328
218754064#2,7.715179,44.969386,1328
218754064#2,7.71869,44.968864,1328
218754064#2,7.724539,44.967985,1328
218754064#2,7.72103,44.968513,1328
218754064#2,7.723369,44.968161,1328
304450301#1,7.759003,45.166226,1306
304450301#1,7.762218,45.1689,1306
304450301#1,7.743788,45.153487,1306
304450301#1,7.763827,45.170238,1306
304450301#1,7.754985,45.162881,1306
304450301#1,7.771858,45.17693,1306
304450301#1,7.743036,45.152789,1306
304450301#1,7.749386,45.158184,1306
304450301#1,7.761414,45.168232,1306
304450301#1,7.737806,45.147883,1306
304450301#1,7.756591,45.16422,1306
304450301#1,7.754185,45.16221,1306
304450301#1,7.737071,45.147176,1306
304450301#1,7.767847,45.173581,1306
304450301#1,7.740785,45.150692,1306
304450301#1,7.752587,45.160867,1306
304450301#1,7.759806,45.166894,1306
304450301#1,7.770258,45.175587,1306
304450301#1,7.746158,45.155517,1306
304450301#1,7.750189,45.158853,1306
304450301#1,7.767043,45.172912,1306
304450301#1,7.771058,45.176259,1306
304450301#1,7.773458,45.178272,1306
304450301#1,7.764631,45.170906,1306
304450301#1,7.748578,45.157517,1306
304450301#1,7.766239,45.172243,1306
304450301#1,7.768651,45.174249,1306
304450301#1,7.758199,45.165557,1306
304450301#1,7.739295,45.149287,1306
304450301#1,7.742283,45.152091,1306
304450301#1,7.765435,45.171575,1306
304450301#1,7.769455,45.174918,1306
304450301#1,7.745363,45.154843,1306
304450301#1,7.738551,45.148585,1306
304450301#1,7.750988,45.159524,1306
304450301#1,7.757395,45.164888,1306
304450301#1,7.74153,45.151393,1306
304450301#1,7.747771,45.156851,1306
304450301#1,7.744568,45.154169,1306
304450301#1,7.76061,45.167563,1306
304450301#1,7.74004,45.149989,1306
304450301#1,7.746963,45.156185,1306
304450301#1,7.751787,45.160196,1306
304450301#1,7.772658,45.177601,1306
304450301#1,7.763023,45.169569,1306
304450301#1,7.753386,45.161539,1306
304450301#1,7.736355,45.14646,1306
304450301#1,7.755787,45.163551,1306
80631640#4,7.556009,44.985799,1282
80631640#4,7.559294,44.989581,1282
80631640#4,7.563443,44.997958,1282
80631640#4,7.557477,44.98725,1282
80631640#4,7.559678,44.990431,1282
80631640#4,7.556732,44.986531,1282
80631640#4,7.560882,44.992969,1282
80631640#4,7.563278,44.997072,1282
80631640#4,7.562562,44.995369,1282
80631640#4,7.562998,44.996203,1282
80631640#4,7.560416,44.992139,1282
80631640#4,7.560046,44.991285,1282
80631640#4,7.558203,44.98798,1282
80631640#4,7.562022,44.994562,1282
80631640#4,7.561449,44.993766,1282
